date,1. open,2. high,3. low,4. close,5. volume
2023-02-13,15.41,16.0329,15.34,15.53,3991863.0
2023-02-14,15.27,16.705,15.01,16.65,4694567.0
2023-02-15,16.64,17.26,16.48,17.23,4398988.0
2023-02-16,16.74,16.77,16.27,16.4,3418864.0
2023-02-17,16.29,16.29,15.57,15.94,4378980.0
2023-02-21,15.32,15.75,15.11,15.32,4286195.0
2023-02-22,15.56,15.97,15.42,15.78,3852058.0
2023-02-23,16.01,16.18,15.32,15.84,2558955.0
2023-02-24,15.43,15.67,15.24,15.46,4124251.0
2023-02-27,15.66,16.075,15.625,15.74,3038546.0
2023-02-28,15.75,16.21,15.75,15.99,8755729.0
2023-03-01,15.99,16.16,15.17,15.32,4082929.0
2023-03-02,15.11,15.78,15.06,15.66,4668700.0
2023-03-03,15.82,16.49,15.71,16.45,4992423.0
2023-03-06,16.44,16.62,15.86,16.15,5190536.0
2023-03-07,16.14,16.4766,15.54,15.61,5626233.0
2023-03-08,15.91,15.91,15.09,15.52,10092591.0
2023-03-09,15.37,15.61,14.46,14.59,6645571.0
2023-03-10,14.48,14.59,13.71,13.91,12191469.0
2023-03-13,13.76,14.2497,13.245,13.96,9927142.0
2023-03-14,14.02,14.49,13.8,14.47,12823399.0
2023-03-15,15.5,16.24,15.2,15.54,15607021.0
2023-03-16,15.65,15.77,15.13,15.22,8489146.0
2023-03-17,15.17,15.56,14.88,15.07,9041606.0
2023-03-20,14.66,14.84,14.36,14.7,5879095.0
2023-03-21,14.78,15.065,14.665,14.97,5858599.0
2023-03-22,14.96,15.03,14.29,14.29,6489830.0
2023-03-23,14.44,15.11,14.44,15.07,5281066.0
2023-03-24,15.07,15.325,14.615,14.64,3938586.0
2023-03-27,14.8,15.305,14.61,15.19,5743909.0
2023-03-28,15.17,15.455,14.715,14.8,4883089.0
2023-03-29,14.95,15.15,14.66,14.89,4669244.0
2023-03-30,15.15,15.29,14.9825,15.26,3670374.0
2023-03-31,15.34,16.62,15.235,16.36,7831200.0
2023-04-03,16.11,16.58,16.05,16.47,5901192.0
2023-04-04,16.62,17.165,16.46,16.87,9942585.0
2023-04-05,16.74,17.02,15.78,16.27,7969039.0
2023-04-06,16.02,16.715,15.81,16.65,8628573.0
2023-04-10,16.34,16.495,15.73,16.42,5773788.0
2023-04-11,16.42,16.8,16.085,16.51,4241861.0
2023-04-12,16.93,17.32,16.5927,17.01,5077335.0
2023-04-13,17.3,17.92,17.23,17.54,11241102.0
2023-04-14,17.49,17.96,17.2103,17.87,4839628.0
2023-04-17,17.91,18.13,17.485,17.67,4706314.0
2023-04-18,17.96,18.33,17.71,17.87,3873546.0
2023-04-19,17.56,17.75,17.1904,17.57,4318397.0
2023-04-20,17.25,18.015,17.14,17.9,6600096.0
2023-04-21,18.07,18.995,17.85,18.58,8897204.0
2023-04-24,18.72,18.72,17.405,17.48,7333710.0
2023-04-25,17.0,17.17,16.44,16.58,7029175.0
2023-04-26,16.99,17.37,16.685,16.78,3953812.0
2023-04-27,17.15,17.2798,16.61,17.04,5710022.0
2023-04-28,16.55,16.7,15.665,16.07,6900565.0
2023-05-01,15.91,16.51,15.802,16.41,8944108.0
2023-05-02,16.21,16.39,15.405,15.73,5571429.0
2023-05-03,15.76,15.95,15.29,15.52,8977885.0
2023-05-04,15.72,15.95,15.48,15.84,6094321.0
2023-05-05,15.97,16.98,15.93,16.89,6953654.0
2023-05-08,17.25,17.71,17.18,17.48,7133838.0
2023-05-09,17.28,17.8553,17.24,17.42,7398654.0
2023-05-10,17.71,18.2,17.59,17.95,5815197.0
2023-05-11,17.97,18.225,17.72,18.21,5772699.0
2023-05-12,18.29,18.5,17.505,17.57,4846963.0
2023-05-15,17.57,18.645,17.42,18.26,7047698.0
2023-05-16,18.03,18.295,17.79,18.16,3745591.0
2023-05-17,18.28,18.72,18.09,18.35,3927104.0
2023-05-18,18.37,19.389,18.37,19.15,6875264.0
2023-05-19,19.0,19.2,18.53,18.75,4898326.0
2023-05-22,18.86,19.4799,18.68,19.12,6255744.0
2023-05-23,19.0,19.7,18.9,19.02,4242959.0
2023-05-24,18.8,19.93,18.74,19.88,7885688.0
2023-05-25,20.73,20.94,19.779,20.13,4657540.0
2023-05-26,20.24,21.15,20.18,20.65,3770004.0
2023-05-30,21.52,21.955,20.8125,21.12,7665883.0
2023-05-31,20.93,21.45,20.74,21.38,9270348.0
2023-06-01,20.26,20.91,19.9,20.72,17541218.0
2023-06-02,13.2,14.25,12.86,13.44,61486682.0
2023-06-05,13.33,13.37,12.71,12.77,16832800.0
